Company,Based,Ultimate Owner Title,Ultimate Owner Jurisdiction
Total,,,
Chevron,,,
Prosafe,,,
Burmi Armada,,,
BW Offshore,,,
Shell,,,
ExxonMobil,,,
SBM Offshore N.V,Netherlands,,
Fred.Olsen Production ASA,,,
Agip Energy & Natural Resources,,,
Transocean Ltd.,,,
Axxis Petroconsultants,Nigeria,,
Lonestar Drilling Nigeria Ltd.,,,
Megadrill Services,,,
Northern Offshore Ltd,,,
Oando,Nigeria,,
Pacific Drilling Limited,US,,
Saipem,Italy,,
Seadrill Ltd,Bermuda,,
SeaWolf Oil Services Limited,Nigeria,,
Shelf Drilling,UAE,,
Shell Nigeria,Nigeria,,
ConocoPhillips,US,,
Total,,Total S.A,France
Star Deepwater JV,,,
Prosafe,,,
Burmi Armada,Malaysia,Pacific States Investment Ltd,Malaysia
BW Offshore,Bermuda,Schlumberger N.V,"Curacao, Netherlands"
Shell,,,
Esso,,,
ExxonMobil,,Exxon Mobil Corp,US
Fred.Olsen,,Yinson Holdings BHD,Malaysia
Agip Energy & Natural Resources,,"MEF, Italian Government",Italy
ENI (NOC),,"MEF, Italian Government",Italy
CAMAC Energy,Cayman Islands,Listed as Dr Kase Lukmanlawal,Unknown
Agip,Spain,,
Chevron,US,Chevron Captain Company (80.06%)) & Chevron Netherlands B.V (19.93%),USA & Netherlands
Addax Petroleum,,,
Conoil,Nigeria,Conoil PLC,Nigeria
Afren,,Afren PLC,UK
Shebah,Nigeria,,
Alliance Marine Services,Cayman Islands,Unknown,Unknown
Transocean Ltd.,,,Switzerland 
Diamond Offshore,US,Louws Corporation,US
Lonestar Drilling Nigeria Ltd.,,,
Maersk Drilling,Denmark,A.P. Møller–Mærsk A/S,Denmark
Nabors Offshore,US,Nabors Industries Ltd,Bermuda
Oando,,Oando PLC,Nigeria
Ocean Rig Asa,,,Norway
Pacific Drilling Limited,,,US
Paragon Offshore,Norway,Nobole Corporation PLC,UK
Saipem,,MEF,Italy
Seadrill Ltd,,,Bermuda
SeaWolf Oil Services Limited,Nigeria,,
Shelf Drilling,UAE,,UAE
Shell Nigeria,Nigeria,,
Stena Drilling,Australia,Stena Drilling Australia Pty Ltd,Australia